Frame_Trial1;YPosition_Trial1;Normalized_Trial1;Frame_Trial2;YPosition_Trial2;Normalized_Trial2;Frame_Trial3;YPosition_Trial3;Normalized_Trial3
-103;-317.57959743690486;0.031659;-87;-320.1928904922476;0.108236;-81;-317.286314720759;0.023332
-102;-317.3067898979186;0.037991;-86;-320.4854587905874;0.104468;-80;-316.70970516837554;0.031464
-101;-317.21465962028503;0.0471;-85;-320.3683740356436;0.109531;-79;-317.0318740450234;0.017887
-100;-317.1511071624755;0.044699;-84;-320.1627676342;0.127921;-78;-317.5583470426888;0.017004
-99;-316.5071931724548;0.052989;-83;-319.9985600688924;0.127972;-77;-317.53854448951205;0.015799
-98;-316.8458293991088;0.034271;-82;-318.9592594192496;0.124692;-76;-317.64125549949125;0.016613
-97;-316.8764681510924;0.036425;-81;-318.78684708099263;0.123943;-75;-317.63261212600185;0.01843
-96;-316.4520215606689;0.034126;-80;-319.27075400810145;0.127783;-74;-317.8312500654549;0.041459
-95;-316.29752324867235;0.046105;-79;-319.2078321598043;0.124832;-73;-317.5195008741709;0.024396
-94;-317.42431046104423;0.052437;-78;-319.38803787879834;0.125166;-72;-317.69099788535533;0.015691
-93;-317.5040107955932;0.059819;-77;-319.2608026893606;0.129457;-71;-316.93184159911584;0.015138
-92;-317.31096076583856;0.062262;-76;-319.0562259986868;0.129535;-70;-316.20086397708377;0.010237
-91;-316.93500001716603;0.059924;-75;-319.06827265052704;0.130141;-69;-317.09446989119965;0.004745
-90;-317.5723088493346;0.058131;-74;-319.2342832725515;0.124862;-68;-317.5859202200265;0.010531
-89;-317.1017920417785;0.061093;-73;-319.2147640922536;0.12194;-67;-317.68388636649564;0.00402
-88;-316.59298171234127;0.063646;-72;-319.2125418441763;0.122184;-66;-317.598584257731;0.026823
-87;-316.450674425125;0.063048;-71;-318.97793606262104;0.119576;-65;-317.86722886813595;0.035289
-86;-316.4141520137787;0.065951;-70;-318.942010855483;0.11697;-64;-317.9458521105141;0.040539
-85;-316.0657039833069;0.06894;-69;-318.9603295219411;0.12382;-63;-318.3356177183481;0.033192
-84;-315.92928315925593;0.0605;-68;-318.9668504226674;0.126653;-62;-318.03960296023786;0.021256
-83;-315.8760901737212;0.051902;-67;-318.9015358665457;0.130248;-61;-317.91756726516195;0.025548
-82;-316.02320286369314;0.059474;-66;-319.17000945358177;0.125854;-60;-318.27763349498224;0.032625
-81;-316.02121529960624;0.066717;-65;-319.3927593563069;0.093515;-59;-318.21391850818117;0.058102
-80;-315.76169413375857;0.073804;-64;-319.4005830581655;0.118008;-58;-317.12890993560274;0.06878
-79;-316.2286610698698;0.075159;-63;-319.3711962612142;0.12102;-57;-316.5986277805658;0.072457
-78;-316.0866200122833;0.066348;-62;-319.3978600509634;0.122481;-56;-316.763873396525;0.082718
-77;-315.86888441848754;0.065875;-61;-319.50966841583147;0.14488;-55;-316.4020866018625;0.071003
-76;-315.8345782413482;0.063884;-60;-319.6582798870077;0.161868;-54;-316.69025829471065;0.053046
-75;-315.7911428775787;0.063479;-59;-319.69398821144006;0.142242;-53;-316.85691380561303;0.048312
-74;-315.87932938957204;0.052991;-58;-319.53262788467305;0.140934;-52;-317.34341046489186;0.039503
-73;-315.75966630363473;0.054897;-57;-319.0012466991414;0.087812;-51;-317.6117743202538;0.047582
-72;-315.70886326217646;0.057687;-56;-319.11866998176475;0.080137;-50;-316.9957227426858;0.060015
-71;-315.46396519088734;0.057274;-55;-319.2115460250845;0.063437;-49;-316.85603508819054;0.06703
-70;-315.5303120098113;0.055062;-54;-318.8093723266591;0.077054;-48;-316.72598308433004;0.059775
-69;-315.48761538505545;0.053841;-53;-318.6939800899496;0.107729;-47;-315.22472833407835;0.067789
-68;-316.16833264732344;0.052337;-52;-320.0122351921072;0.149175;-46;-315.1597274519294;0.070015
-67;-316.1860070571899;0.04995;-51;-321.0447984302512;0.131444;-45;-314.7380220819802;0.04858
-66;-316.6767405109405;0.044763;-50;-320.00884270553485;0.141189;-44;-314.8640699182839;0.042704
-65;-316.21174992370595;0.044375;-49;-319.4094362934103;0.172203;-43;-314.14355000747156;0.015525
-64;-315.7912958393096;0.051224;-48;-319.52345255546476;0.168409;-42;-314.6423876119942;0.008041
-63;-315.65944190597526;0.046094;-47;-319.26557363395585;0.181221;-41;-314.94139531196066;0.0
-62;-315.60257647705066;0.053936;-46;-319.37887378196615;0.184432;-40;-315.61874536193324;0.007267
-61;-315.2560149879455;0.057964;-45;-318.55871612625026;0.106339;-39;-316.0387325502724;0.019181
-60;-315.2578911323547;0.0528;-44;-317.666990776824;0.081843;-38;-316.0449556728692;0.054827
-59;-315.17088491249075;0.044524;-43;-317.1069480522146;0.063011;-37;-316.49134223235563;0.060395
-58;-315.79543069267265;0.047999;-42;-317.0094535682668;0.063608;-36;-316.4748458172174;0.080493
-57;-315.6140447788238;0.047897;-41;-318.4950816143026;0.063894;-35;-316.08616386760195;0.079541
-56;-315.6262203540801;0.0497;-40;-317.7320960262288;0.086002;-34;-316.00413556159447;0.08436
-55;-315.75144679641716;0.051098;-39;-318.983021982955;0.109486;-33;-315.0966208645196;0.111916
-54;-315.853996313095;0.055147;-38;-321.3602608917226;0.107675;-32;-315.1062877174706;0.08777
-53;-315.71371174049364;0.060966;-37;-321.5209842975605;0.064623;-31;-315.17022741473625;0.01624
-52;-315.79680903625484;0.048339;-36;-321.9307712810507;0.0;-30;-315.6277424494118;0.066438
-51;-315.94542649269096;0.029135;-35;-322.79265800933734;0.068789;-29;-315.16957390273524;0.424389
-50;-316.4054757099151;0.043586;-34;-322.77273374252223;0.531762;-28;-314.71108676112607;0.696112
-49;-316.31063074493403;0.0;-33;-321.9974403770438;0.840633;-27;-315.0571862179132;0.860885
-48;-316.29627960777276;0.088729;-32;-321.53763177757156;0.948677;-26;-315.967262694964;0.92247
-47;-316.1477122936248;0.373799;-31;-319.47057054595854;0.881126;-25;-316.20307658065263;0.969725
-46;-316.1431801815033;0.66765;-30;-317.99409776191607;0.866722;-24;-316.3521903215737;0.924114
-45;-316.20723986434933;0.759172;-29;-317.36950182800194;0.856165;-23;-317.4534774452539;0.899094
-44;-316.1283751659393;0.79372;-28;-318.99789146881017;0.86004;-22;-318.0965130812021;0.911018
-43;-316.3064937572478;0.790929;-27;-318.5389015167226;0.855528;-21;-318.0393220421167;0.943525
-42;-316.2550530166625;0.789334;-26;-318.0750922887792;0.882713;-20;-318.1948821255059;0.941592
-41;-316.34900111389146;0.789512;-25;-316.4309595745077;0.895883;-19;-318.8009216047615;0.943937
-40;-316.3965046234129;0.780411;-24;-316.7619271524419;0.909855;-18;-318.04662518084945;0.942685
-39;-316.4400118961333;0.796201;-23;-316.6992871377935;0.910351;-17;-317.6668150345177;0.928185
-38;-316.30568245124806;0.752924;-22;-316.14965225963493;0.91217;-16;-317.3075553785653;0.909774
-37;-316.6302138004302;0.749243;-21;-315.75278837375544;0.911511;-15;-315.71975425208535;0.905993
-36;-316.9341244068146;0.744973;-20;-315.3779133489599;0.936613;-14;-315.78742273772673;0.904221
-35;-316.81506279373167;0.754944;-19;-319.83853387718096;0.95181;-13;-315.1699686809869;0.916749
-34;-316.91969931793204;0.77018;-18;-320.47674006919766;0.946154;-12;-314.4730530821175;0.921912
-33;-316.8329926757812;0.774019;-17;-321.5109239452353;0.942631;-11;-314.1710055910439;0.929
-32;-316.34576111984256;0.73794;-16;-322.08659602622885;0.940249;-10;-314.68501054538206;0.941235
-31;-316.85796806144714;0.759368;-15;-322.8100946510305;0.941674;-9;-314.48246974719467;0.958168
-30;-316.7691417675018;0.766527;-14;-322.7077177856436;0.942825;-8;-313.06519025195547;0.973881
-29;-316.8805678710938;0.7894;-13;-322.8142717845907;0.94812;-7;-312.8051468178124;1.0
-28;-316.3291616935729;0.811734;-12;-322.7963278835287;0.948867;-6;-313.3640726162285;0.989332
-27;-316.22817331695563;0.825545;-11;-322.65932363967795;0.959142;-5;-316.4626946207375;0.971631
-26;-316.10279759788517;0.842197;-10;-321.3616440532675;0.973896;-4;-317.99467822802984;0.964419
-25;-316.05935348510735;0.850079;-9;-320.6289142978659;0.971736;-3;-317.73175403560106;0.960654
-24;-316.63500480651857;0.85382;-8;-319.69691121559043;0.968136;-2;-309.1925128866525;0.969276
-23;-316.88022082901;0.871871;-7;-320.0377546012869;0.970796;-1;-295.072980528483;0.972593
-22;-316.8579721469879;0.908036;-6;-321.06972387962236;0.977817;0;-286.6652327352853;0.968011
-21;-316.6749820575713;0.930182;-5;-323.08283590583704;0.984842;1;-279.135318457255;0.964412
-20;-316.6888412532805;0.939449;-4;-325.91646303253077;0.997733;2;-275.3149630247445;0.966965
-19;-316.69066755866993;0.944105;-3;-327.104601826476;0.998598;3;-272.9174506698938;0.964718
-18;-316.62845645713793;0.939481;-2;-324.0576837108602;0.991851;4;-272.20687098849726;0.963628
-17;-316.5816475982666;0.951541;-1;-306.65595071773424;0.993118;5;-270.2128976608605;0.959959
-16;-316.68238506317135;0.944546;0;-291.56876520614526;0.988984;6;-271.73854926646663;0.954229
